Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
278 302 123 458,16,8,2564,46750,50,750,23,2021-08-16,0,จันทร์
421 666 160 355,1,8,2564,910261,61,261,69,2021-08-01,6,อาทิตย์
103 307 004 785,16,7,2564,556725,25,725,70,2021-07-16,4,ศุกร์
058 174 233 927,1,7,2564,713517,17,517,29,2021-07-01,3,พฤหัสบดี
073 794 414 511,16,6,2564,691861,61,861,17,2021-06-16,2,พุธ
007 054 447 668,1,6,2564,292972,72,972,45,2021-06-01,1,อังคาร
193 620 723 978,16,5,2564,684579,79,579,14,2021-05-16,6,อาทิตย์
615 843 276 970,2,5,2564,501272,72,272,18,2021-05-02,6,อาทิตย์
018 306 129 498,16,4,2564,100787,87,787,56,2021-04-16,4,ศุกร์
013 143 264 478,1,4,2564,472270,70,270,5,2021-04-01,3,พฤหัสบดี
283 755 393 577,16,3,2564,890422,22,422,19,2021-03-16,1,อังคาร
036 902 256 396,1,3,2564,835538,38,538,73,2021-03-01,0,จันทร์
290 838 051 806,16,2,2564,424603,3,603,39,2021-02-16,1,อังคาร
318 861 057 817,1,2,2564,912307,7,307,97,2021-02-01,0,จันทร์
248 605 282 651,17,1,2564,384395,95,395,15,2021-01-17,6,อาทิตย์
367 653 566 878,30,12,2563,803628,28,628,19,2020-12-30,2,พุธ
336 804 321 924,16,12,2563,201303,3,303,70,2020-12-16,2,พุธ
377 828 072 517,1,12,2563,100994,94,994,84,2020-12-01,1,อังคาร
093 776 834 984,16,11,2563,972661,61,661,46,2020-11-16,0,จันทร์
368 741 208 255,1,11,2563,506404,4,404,40,2020-11-01,6,อาทิตย์
154 598 062 245,16,10,2563,286051,51,51,38,2020-10-16,4,ศุกร์
189 464 045 980,1,10,2563,837893,93,893,59,2020-10-01,3,พฤหัสบดี
594 757 110 595,16,9,2563,244083,83,83,57,2020-09-16,2,พุธ
127 220 623 853,1,9,2563,999997,97,997,98,2020-09-01,1,อังคาร
636 725 342 957,16,8,2563,945811,11,811,88,2020-08-16,6,อาทิตย์
614 712 364 733,1,8,2563,569391,91,391,92,2020-08-01,5,เสาร์
575 931 578 809,16,7,2563,873286,86,286,53,2020-07-16,3,พฤหัสบดี
510 533 494 682,1,7,2563,347258,58,258,83,2020-07-01,2,พุธ
095 362 094 307,16,6,2563,516967,67,967,64,2020-06-16,1,อังคาร
876 882 565 625,1,6,2563,831567,67,567,24,2020-06-01,0,จันทร์
264 489 562 582,1,4,2563,51095,95,95,22,2020-04-01,2,พุธ
285 430 191 364,16,3,2563,503446,46,446,77,2020-03-16,0,จันทร์
258 726 404 661,1,3,2563,875938,38,938,98,2020-03-01,6,อาทิตย์
294 328 597 780,16,2,2563,781403,3,403,94,2020-02-16,6,อาทิตย์
515 952 030 918,1,2,2563,589227,27,227,6,2020-02-01,5,เสาร์
259 552 375 927,17,1,2563,491774,74,774,68,2020-01-17,4,ศุกร์
004 132 379 595,30,12,2562,510541,41,541,81,2019-12-30,0,จันทร์
116 382 140 250,16,12,2562,529924,24,924,97,2019-12-16,0,จันทร์
043 138 555 665,1,12,2562,453522,22,522,81,2019-12-01,6,อาทิตย์
261 617 013 457,16,11,2562,17223,23,223,32,2019-11-16,5,เสาร์
164 640 085 194,1,11,2562,967375,75,375,79,2019-11-01,4,ศุกร์
323 806 021 206,16,10,2562,812564,64,564,15,2019-10-16,2,พุธ
255 625 132 598,1,10,2562,691197,97,197,59,2019-10-01,1,อังคาร
392 920 606 797,16,9,2562,340388,88,388,85,2019-09-16,0,จันทร์
733 947 925 939,1,9,2562,798787,87,787,20,2019-09-01,6,อาทิตย์
